flights_per_year ; car_km_per_week ; meat_kg_per_week ; electricity_kwh_month ; waste_kg_week ; co2_tons_per_year

0 ; 15 ; 0.3 ; 220 ; 4.0 ; 2.80
1 ; 120 ; 1.1 ; 280 ; 7.0 ; 6.45
0 ; 250 ; 2.3 ; 350 ; 8.5 ; 9.75
2 ; 130 ; 1.4 ; 300 ; 6.8 ; 8.25
3 ; 70 ; 2.8 ; 450 ; 9.0 ; 11.85
1 ; 210 ; 1.9 ; 320 ; 7.4 ; 8.95
4 ; 50 ; 3.5 ; 500 ; 10.5 ; 13.70
0 ; 80 ; 0.8 ; 260 ; 5.5 ; 5.25
2 ; 170 ; 2.0 ; 370 ; 7.9 ; 9.65
1 ; 190 ; 1.2 ; 310 ; 6.3 ; 7.80
0 ; 40 ; 0.5 ; 230 ; 4.3 ; 3.40
3 ; 160 ; 3.0 ; 480 ; 9.2 ; 12.25
2 ; 220 ; 2.2 ; 400 ; 8.8 ; 10.50
1 ; 110 ; 1.0 ; 270 ; 6.1 ; 6.20
0 ; 30 ; 0.4 ; 210 ; 4.7 ; 3.10
4 ; 140 ; 3.8 ; 520 ; 11.0 ; 14.20
2 ; 180 ; 2.5 ; 380 ; 8.3 ; 10.05
1 ; 200 ; 1.5 ; 340 ; 7.0 ; 8.15
0 ; 60 ; 0.7 ; 240 ; 5.0 ; 4.60
3 ; 150 ; 3.2 ; 470 ; 9.8 ; 12.75
0 ; 15 ; 0.3 ; 220 ; 4.0 ; 2.80
1 ; 120 ; 1.1 ; 280 ; 7.0 ; 6.45
0 ; 250 ; 2.3 ; 350 ; 8.5 ; 9.75
2 ; 130 ; 1.4 ; 300 ; 6.8 ; 8.25
3 ; 70 ; 2.8 ; 450 ; 9.0 ; 11.85
1 ; 210 ; 1.9 ; 320 ; 7.4 ; 8.95
4 ; 50 ; 3.5 ; 500 ; 10.5 ; 13.70
0 ; 80 ; 0.8 ; 260 ; 5.5 ; 5.25
2 ; 170 ; 2.0 ; 370 ; 7.9 ; 9.65
1 ; 190 ; 1.2 ; 310 ; 6.3 ; 7.80
0 ; 40 ; 0.5 ; 230 ; 4.3 ; 3.40
3 ; 160 ; 3.0 ; 480 ; 9.2 ; 12.25
2 ; 220 ; 2.2 ; 400 ; 8.8 ; 10.50
1 ; 110 ; 1.0 ; 270 ; 6.1 ; 6.20
0 ; 30 ; 0.4 ; 210 ; 4.7 ; 3.10
4 ; 140 ; 3.8 ; 520 ; 11.0 ; 14.20
2 ; 180 ; 2.5 ; 380 ; 8.3 ; 10.05
1 ; 200 ; 1.5 ; 340 ; 7.0 ; 8.15
0 ; 60 ; 0.7 ; 240 ; 5.0 ; 4.60
3 ; 150 ; 3.2 ; 470 ; 9.8 ; 12.75
1 ; 100 ; 1.3 ; 290 ; 6.6 ; 7.15
2 ; 210 ; 2.7 ; 410 ; 8.9 ; 10.80
0 ; 55 ; 0.6 ; 250 ; 4.9 ; 4.30
3 ; 130 ; 3.3 ; 460 ; 10.0 ; 13.00
1 ; 190 ; 1.8 ; 330 ; 7.1 ; 8.50
2 ; 160 ; 2.1 ; 360 ; 7.7 ; 9.40
0 ; 45 ; 0.4 ; 220 ; 4.2 ; 3.70
